"punto","sistema_origen","representacion_origen","rol_origen","funcion_origen","naturaleza_origen","sistema_destino","representacion_destino","rol_destino","funcion_destino","naturaleza_destino","tipo_transformacion","justificacion"
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","relacion_indeterminada","No se cuenta con evidencia suficiente para clasificar la relación."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","relacion_indeterminada","No se cuenta con evidencia suficiente para clasificar la relación."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","equivalencia_parcial","La señal de control conserva relación con el origen, pero no reconstruye toda la representación previa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","no_reducibilidad","La estructura aprendida no permite reconstruir completamente el sistema origen; se interpreta como no reducibilidad."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial","El dato observado se transforma en objetivo, entrada o representación de aprendizaje; conserva identidad factual, pero cambia función."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial","Las representaciones pertenecen al mismo sistema, pero cambian rol o función; se interpreta como equivalencia parcial."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial","La señal de control conserva relación con el origen, pero no reconstruye toda la representación previa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","no_reducibilidad","La estructura aprendida no permite reconstruir completamente el sistema origen; se interpreta como no reducibilidad."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial","El dato observado se transforma en objetivo, entrada o representación de aprendizaje; conserva identidad factual, pero cambia función."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial","Las representaciones pertenecen al mismo sistema, pero cambian rol o función; se interpreta como equivalencia parcial."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial","La señal de control conserva relación con el origen, pero no reconstruye toda la representación previa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","no_reducibilidad","La estructura aprendida no permite reconstruir completamente el sistema origen; se interpreta como no reducibilidad."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","relacion_indeterminada","No se cuenta con evidencia suficiente para clasificar la relación."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","complementariedad","La salida o señal de aprendizaje se usa como criterio de control; no sustituye la representación original, sino que la complementa."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","complementariedad","La salida o señal de aprendizaje se usa como criterio de control; no sustituye la representación original, sino que la complementa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","no_reducibilidad","La estructura aprendida no permite reconstruir completamente el sistema origen; se interpreta como no reducibilidad."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","emergencia_funcional","El dato factual se interpreta como evidencia aprendida; la función sistémica no estaba presente en la observación inicial."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","no_reducibilidad","La representación aprendida se integra como componente evaluable o sistémico; no se reduce completamente al resultado de aprendizaje local."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","no_reducibilidad","La representación aprendida se integra como componente evaluable o sistémico; no se reduce completamente al resultado de aprendizaje local."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","emergencia_funcional","La señal de control se integra como evidencia aprendida; aparece una función sistémica adicional."
