"punto","sistema_origen","representacion_origen","rol_origen","funcion_origen","naturaleza_origen","sistema_destino","representacion_destino","rol_destino","funcion_destino","naturaleza_destino","tipo_transformacion","justificacion"
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","equivalencia_parcial_inversa","La representación de aprendizaje conserva vínculo con el dato observado, pero no reconstruye toda su condición factual."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","equivalencia_parcial_inversa","La representación de aprendizaje conserva vínculo con el dato observado, pero no reconstruye toda su condición factual."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","equivalencia_parcial_inversa","La señal de discrepancia conserva vínculo con el dato observado, pero no reconstruye su condición factual completa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","no_reducibilidad_inversa","La evidencia aprendida conserva vínculo con el dato observado, pero no permite reconstruir toda la condición factual inicial."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial","El dato observado se transforma en objetivo, entrada o representación de aprendizaje; conserva identidad factual, pero cambia función."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial","Las representaciones pertenecen al mismo sistema, pero reorganizan rol, función o naturaleza."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","equivalencia_parcial_inversa","La señal de control conserva relación con el aprendizaje, pero no reconstruye toda la representación previa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","no_reducibilidad_inversa","La estructura aprendida no permite reconstruir completamente la representación local de aprendizaje."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial","El dato observado se transforma en objetivo, entrada o representación de aprendizaje; conserva identidad factual, pero cambia función."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial","Las representaciones pertenecen al mismo sistema, pero reorganizan rol, función o naturaleza."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","equivalencia_parcial_inversa","La señal de control conserva relación con el aprendizaje, pero no reconstruye toda la representación previa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","no_reducibilidad_inversa","La estructura aprendida no permite reconstruir completamente la representación local de aprendizaje."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","complementariedad","El dato observado se vincula con una señal de control; ambas representaciones se complementan para evaluar corrección."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","complementariedad","La salida o señal de aprendizaje se usa como criterio de control; no sustituye la representación original, sino que la complementa."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","complementariedad","La salida o señal de aprendizaje se usa como criterio de control; no sustituye la representación original, sino que la complementa."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","no_reducibilidad_inversa","La evidencia aprendida no se reduce completamente a la señal de control que la originó."
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","emergencia_funcional","El dato factual se interpreta como evidencia aprendida; la función sistémica no estaba presente en la observación inicial."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","no_reducibilidad","La representación aprendida se integra como componente evaluable o sistémico; no se reduce completamente al resultado de aprendizaje local."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","no_reducibilidad","La representación aprendida se integra como componente evaluable o sistémico; no se reduce completamente al resultado de aprendizaje local."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","emergencia_funcional","La señal de control se integra como evidencia aprendida; aparece una función sistémica adicional."
