"punto","sistema","representacion","rol","funcion","naturaleza","fuente_programatica","observacion"
"y","S_obs","preparado$y","variable observada","representar el valor factual de referencia","dato factual observado","ajuste_demo$preparado$y","La variable objetivo aparece como dato observado."
"y","S_apr","unidad$variable_objetivo = y","objetivo de aprendizaje","orientar el ajuste del modelo","referente supervisado","ajuste_demo$unidad$variable_objetivo","La variable objetivo define el referente del aprendizaje."
"y","S_apr","prediccion","salida estimada","aproximar la variable observada","representación aprendida","ajuste_demo$prediccion","La predicción representa la forma aprendida."
"y","S_ctrl","error observado-predicho","señal de discrepancia","evaluar necesidad de corrección","señal diagnóstica","ajuste_demo$preparado$y - ajuste_demo$prediccion","La discrepancia puede orientar corrección."
"y","S_learned","comparación observado-predicho","componente aprendido evaluable","valorar la calidad de la representación aprendida","evidencia de aprendizaje","ajuste_demo$metricas","La variable se evalúa mediante métricas."
"loss","S_apr","trayectoria$loss","medida de error","orientar el ajuste del modelo","señal de aprendizaje","ajuste_demo$trayectoria$loss","La pérdida registra tensión de ajuste."
"loss","S_ctrl","reducción de pérdida","criterio de control","evaluar mejora y posible ajuste","señal diagnóstica","ajuste_demo$metricas$reduccion_rel","La reducción de pérdida puede orientar control."
"loss","S_learned","resumen de trayectoria","componente dinámico aprendido","caracterizar estabilidad del aprendizaje","evidencia dinámica","ajuste_demo$trayectoria","La trayectoria permite interpretar estabilidad."
"grad_norm","S_apr","trayectoria$grad_norm","magnitud del gradiente","representar presión de ajuste","señal diferencial del aprendizaje","ajuste_demo$trayectoria$grad_norm","La norma del gradiente resume intensidad de cambio."
"grad_norm","S_ctrl","nivel de presión dinámica","indicador de estabilidad o inestabilidad","apoyar decisiones de ajuste de tasa o control","señal de control potencial","ajuste_demo$trayectoria$grad_norm","Puede interpretarse como presión de ajuste."
"grad_norm","S_learned","patrón de presión de aprendizaje","componente dinámico aprendido","caracterizar intensidad y estabilización del aprendizaje","evidencia de dinámica interna","ajuste_demo$trayectoria","Puede contribuir a identificar regímenes."
"eta","S_apr","trayectoria$eta","tasa de aprendizaje","regular la magnitud de actualización","parámetro operativo","ajuste_demo$trayectoria$eta","Eta regula la intensidad de actualización."
"eta","S_ctrl","secuencia de eta","variable de control","ajustar la dinámica de aprendizaje","componente de control adaptativo","ajuste_demo$trayectoria$eta","Cambios en eta pueden interpretarse como control."
"eta","S_learned","patrón de política de tasa","evidencia de estrategia adaptativa","caracterizar una política de aprendizaje","evidencia meta-dinámica","ajuste_demo$trayectoria","La secuencia puede leerse como política adaptativa."
